title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
TPTU: large language model-based AI agents for task planning and tool usage,J Ruan; Y Chen; B Zhang; Z Xu; T Bao; G Du,2023,arXiv preprint arXiv …,"planning and the usage of external tools. In this paper, we first propose a structured framework  tailored for LLM-based AI Agents and  ie, one-step agent and sequential agent) to execute",https://arxiv.org/abs/2308.03427,https://arxiv.org/pdf/2308.03427,56,"/scholar?cites=7916725756616343845&as_sdt=5,33&sciodt=0,33&hl=en"
Tptu: Task planning and tool usage of large language model-based ai agents,J Ruan; Y Chen; B Zhang; Z Xu; T Bao,2023,… for decision making …,"planning and the usage of external tools. In this paper, we first propose a structured framework  tailored for LLM-based AI Agents and  ie, one-step agent and sequential agent) to execute",https://openreview.net/forum?id=GrkgKtOjaH,https://openreview.net/pdf?id=GrkgKtOjaH,194,"/scholar?cites=215173853357937829&as_sdt=5,33&sciodt=0,33&hl=en"
LLM-based and retrieval-augmented control code generation,H Koziolek; S Grüner; R Hark; V Ashiwal,2024,Proceedings of the 1st …,"Popular large language models (LLM) can synthesize low- tasks, we proposed a  retrieval-augmented control code  -use proprietary and well-tested function blocks, and speed up",https://dl.acm.org/doi/abs/10.1145/3643795.3648384,https://dl.acm.org/doi/pdf/10.1145/3643795.3648384,86,"/scholar?cites=4991834901771272963&as_sdt=5,33&sciodt=0,33&hl=en"
A survey on large language model based autonomous agents,L Wang; C Ma; X Feng; Z Zhang; H Yang,2024,Frontiers of Computer …,"construction of LLM-based autonomous agents, proposing a  applications of LLM-based  autonomous agents in social  commonly used for LLM-based autonomous agents. Based",https://link.springer.com/article/10.1007/s11704-024-40231-1,https://link.springer.com/content/pdf/10.1007/s11704-024-40231-1.pdf,3083,"/scholar?cites=14371622504724745017&as_sdt=5,33&sciodt=0,33&hl=en"
Bolaa: Benchmarking and orchestrating llm-augmented autonomous agents,Z Liu; W Yao; J Zhang; L Xue; S Heinecke,2023,arXiv preprint arXiv …,"LLM-augmented Autonomous Agents (LAAs). An LAA is able to generate actions with its core  LLM  in terms of both agent architectures and LLM backbones. Additionally, we propose a",https://arxiv.org/abs/2308.05960,https://arxiv.org/pdf/2308.05960,120,"/scholar?cites=7461840210213149264&as_sdt=5,33&sciodt=0,33&hl=en"
agentar: Creating augmented reality applications with tool-augmented llm-based autonomous agents,C Zhu; SK Hsia; X Hu; Z Liu; J Shi,2025,Proceedings of the 38th …,New opportunities to address this gap have been introduced by the emergence of tool-augmented  large language model (LLM)– based autonomous agents [88] (tool-augmented agents,https://dl.acm.org/doi/abs/10.1145/3746059.3747676,https://dl.acm.org/doi/pdf/10.1145/3746059.3747676,8,"/scholar?cites=2909842038433279784&as_sdt=5,33&sciodt=0,33&hl=en"
Can LLM-augmented autonomous agents cooperate? An evaluation of their cooperative capabilities through melting pot,M Mosquera; JS Pinzon; Y Fonseca,2025,IEEE Transactions …,This paper investigates the cooperative cabilities of Large Language Model-augmented  Autonomous Agents (LAAs) using the well-known Melting Pot environments along with,https://ieeexplore.ieee.org/abstract/document/11002554/,https://arxiv.org/pdf/2403.11381,18,"/scholar?cites=1661302152368744800&as_sdt=5,33&sciodt=0,33&hl=en"
Large Language Model-Based Autonomous Agents,P Garg; D Beeram,2024,International Journal of Computer Trends and …,One of the primary gaps in the current research arena pertaining to LLM-based Autonomous  Agents lies in the lack of standardized architectures and frameworks that are directly,https://www.researchgate.net/profile/Divya-Beeram/publication/384332406_Large_Language_Model-Based_Autonomous_Agents/links/66f4e254f599e0392fa2f921/Large-Language-Model-Based-Autonomous-Agents.pdf,https://www.researchgate.net/profile/Divya-Beeram/publication/384332406_Large_Language_Model-Based_Autonomous_Agents/links/66f4e254f599e0392fa2f921/Large-Language-Model-Based-Autonomous-Agents.pdf,5,"/scholar?cites=13394312384375165501&as_sdt=5,33&sciodt=0,33&hl=en"
Personality-driven decision-making in LLM-based autonomous agents,L Newsham; D Prince,2025,arXiv preprint arXiv:2504.00727,"The embedding of Large Language Models (LLMs) into autonomous agents is a rapidly  developing field which enables dynamic, configurable behaviours without the need for extensive",https://arxiv.org/abs/2504.00727,https://arxiv.org/pdf/2504.00727?,15,"/scholar?cites=2167904126723463474&as_sdt=5,33&sciodt=0,33&hl=en"
Fundamentals of building autonomous llm agents,V de Lamo Castrillo; HK Gidey; A Lenz,2025,arXiv preprint arXiv …,LLM agents represent a new paradigm that breaks traditional  Engaging with LLM agents  is comparable to engaging with a  Building on this vision of LLM agents as intelligent,https://brianburns.com/blogs/how-to-build-ai-systems-that-work/Castrillo%20-%20Fundamentals%20of%20Building%20Autonomous%20LLM%20Agents.pdf,https://brianburns.com/blogs/how-to-build-ai-systems-that-work/Castrillo%20-%20Fundamentals%20of%20Building%20Autonomous%20LLM%20Agents.pdf,5,"/scholar?cites=9707965935562790241&as_sdt=5,33&sciodt=0,33&hl=en"
