title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
Tapas are free! training-free adaptation of programmatic agents via llm-guided program synthesis in dynamic environments,J Hu; Y Dong; Y Sun; X Huang,2026.0,… of the AAAI Conference on Artificial …,TAPA enables autonomous agents to adapt to evolving environments without retraining  through LLM-guided symbolic program synthesis: (1) Logic primitive design. Define high-level,https://ojs.aaai.org/index.php/AAAI/article/view/40189,https://ojs.aaai.org/index.php/AAAI/article/download/40189/44150,3,"/scholar?cites=1039599647896045331&as_sdt=5,33&sciodt=0,33&hl=en",Tapas are free! training-free adaptation of programmatic agents via llm-guided program synthesis in dynamic environments,"Autonomous agents in safety-critical applications must continuously adapt to dynamic conditions without compromising performance and reliability. This work introduces TAPA (Training-free Adaptation of Programmatic Agents), a novel framework that positions large language models (LLMs) as intelligent moderators of the symbolic action space. Unlike prior programmatic agents typically generate a monolithic policy program or rely on fixed symbolic action sets, TAPA synthesizes and adapts modular programs for individual high-level actions, referred to as logical primitives. By decoupling strategic intent from execution, TAPA enables meta-agents to operate over an abstract, interpretable action space while the LLM dynamically generates, composes, and refines symbolic programs tailored to each primitive. Extensive experiments across cybersecurity and swarm intelligence domains validate TAPA's effectiveness. In autonomous DDoS defense scenarios, TAPA achieves 77.7% network uptime while maintaining near-perfect detection accuracy in unknown dynamic environments. In swarm intelligence formation control under environmental and adversarial disturbances, TAPA consistently preserves consensus at runtime where baseline methods fail. This work promotes a paradigm shift for autonomous system design in evolving environments, from policy adaptation to dynamic action adaptation.",https://doi.org/10.48550/arxiv.2508.11425,OpenAlex,found
Pal: Program-aided language models,L Gao; A Madaan; S Zhou; U Alon,2023.0,International …,-Aided Language model (PAL): a novel approach that uses an LLM to read natural language   This offloading leverages an LLM that can decompose a natural language problem into pro,https://proceedings.mlr.press/v202/gao23f.html?utm_source=chatgpt.com,https://proceedings.mlr.press/v202/gao23f/gao23f.pdf,1490,"/scholar?cites=5256254484066597738&as_sdt=5,33&sciodt=0,33&hl=en",Pal: Program-aided language models,"Large language models (LLMs) have recently demonstrated an impressive ability to perform arithmetic and symbolic reasoning tasks, when provided with a few examples at test time (""few-shot prompting""). Much of this success can be attributed to prompting methods such as ""chain-of-thought'', which employ LLMs for both understanding the problem description by decomposing it into steps, as well as solving each step of the problem. While LLMs seem to be adept at this sort of step-by-step decomposition, LLMs often make logical and arithmetic mistakes in the solution part, even when the problem is decomposed correctly. In this paper, we present Program-Aided Language models (PAL): a novel approach that uses the LLM to read natural language problems and generate programs as the intermediate reasoning steps, but offloads the solution step to a runtime such as a Python interpreter. With PAL, decomposing the natural language problem into runnable steps remains the only learning task for the LLM, while solving is delegated to the interpreter. We demonstrate this synergy between a neural LLM and a symbolic interpreter across 13 mathematical, symbolic, and algorithmic reasoning tasks from BIG-Bench Hard and other benchmarks. In all these natural language reasoning tasks, generating code using an LLM and reasoning using a Python interpreter leads to more accurate results than much larger models. For example, PAL using Codex achieves state-of-the-art few-shot accuracy on the GSM8K benchmark of math word problems, surpassing PaLM-540B which uses chain-of-thought by absolute 15% top-1. Our code and data are publicly available at http://reasonwithpal.com/ .",https://doi.org/10.48550/arxiv.2211.10435,OpenAlex,found
Hysynth: Context-free llm approximation for guiding program synthesis,S Barke; E Anaya Gonzalez,2024.0,Advances in …,"framed as program synthesis problems,  LLM completions for a given task are used to learn  a task-specific, context-free surrogate model, which is then used to guide program synthesis.",https://proceedings.neurips.cc/paper_files/paper/2024/hash/1c9c85bae6161d52182d0fe2f3640512-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/1c9c85bae6161d52182d0fe2f3640512-Paper-Conference.pdf,34,"/scholar?cites=11994944627165945172&as_sdt=5,33&sciodt=0,33&hl=en",Hysynth: Context-free llm approximation for guiding program synthesis,"Many structured prediction and reasoning tasks can be framed as program synthesis problems, where the goal is to generate a program in a domain-specific language (DSL) that transforms input data into the desired output. Unfortunately, purely neural approaches, such as large language models (LLMs), often fail to produce fully correct programs in unfamiliar DSLs, while purely symbolic methods based on combinatorial search scale poorly to complex problems. Motivated by these limitations, we introduce a hybrid approach, where LLM completions for a given task are used to learn a task-specific, context-free surrogate model, which is then used to guide program synthesis. We evaluate this hybrid approach on three domains, and show that it outperforms both unguided search and direct sampling from LLMs, as well as existing program synthesizers.",https://doi.org/10.48550/arxiv.2405.15880,OpenAlex,found
A survey on llm-based code generation for low-resource and domain-specific programming languages,S Joel; J Wu; F Fard,2024.0,ACM Transactions on Software Engineering and …,"currently unable to fully leverage LLM capabilities. LRPLs and  as strategies used to enhance  LLM performance, and the  We categorized the methods used for LLM improvement into",https://dl.acm.org/doi/abs/10.1145/3770084,https://dl.acm.org/doi/pdf/10.1145/3770084,84,"/scholar?cites=7226844166887283709&as_sdt=5,33&sciodt=0,33&hl=en",A survey on llm-based code generation for low-resource and domain-specific programming languages,"Large Language Models (LLMs) have shown remarkable capabilities in code generation for popular programming languages. However, their performance in Low-Resource Programming Languages (LRPLs) and Domain-Specific Languages (DSLs) remains a critical challenge. This gap affects millions of developers - with Rust alone having 3.5 million users - who are currently unable to fully leverage LLM capabilities. LRPLs and DSLs face unique challenges, including severe data scarcity and, for DSLs, highly specialized syntax and semantics that are poorly represented in general-purpose datasets. Addressing these challenges is crucial as LRPLs and DSLs significantly enhance development efficiency in specialized domains and applications, including financial and scientific works. While several surveys on LLMs for software engineering and code exist, none comprehensively address the challenges and opportunities specific to LRPLs and DSLs. Our survey fills this gap by providing a systematic review of the current state, methodologies, and challenges in leveraging LLMs for code generation in LRPL and DSL. We filtered 111 papers from over 27,000 published studies from 2020 – 2024 to understand the capabilities and limitations of LLMs in these specialized domains. We also expanded our literature search to include 5 recent papers from 2024 – 2025. We report LLMs used, benchmarks, and metrics to evaluate code generation in LRPLs and DSLs, as well as strategies used to enhance LLM performance, and the collected datasets and curation methods in this context. We identified four main evaluation techniques used in the literature, along with several metrics to assess code generation in LRPL and DSL. We categorized the methods used for LLM improvement into six main groups and summarized the novel methods and architectures proposed by the researchers. We also classified different approaches used for data collection and preparation. While different techniques, metrics, and datasets are used, there is a lack of a standard approach and a benchmark dataset to evaluate code generation in several LRPLs and DSLs. We discuss several distinctions of the studied approaches with the ones used in high-resource programming languages (HRPLs), as well as several challenges unique to these languages, especially DSLs. The challenges stem from the scarcity of data, the unique requirements, and specialized domains, which often need expertise guidelines or domain-specific tools. Accordingly, we provide insights into different research opportunities for the studied aspects. This survey serves as a comprehensive resource for researchers and practitioners working at the intersection of LLMs, software engineering, and specialized programming languages, providing a foundation for future advancements in LRPL and DSL code generation. A GitHub repository was created to organize the papers of this survey at https://github.com/jie-jw-wu/Survey-CodeLLM4LowResource-DSL .",https://doi.org/10.1145/3770084,OpenAlex,found
Codearc: Benchmarking reasoning capabilities of llm agents for inductive program synthesis,A Wei; T Suresh; J Cao; N Kannan; Y Wu; K Yan,2025.0,arXiv preprint arXiv …,"program synthesis benchmark for LLM-powered agents. LLM Benchmarks for Code Most  LLM  To evaluate the capabilities of LLM-based agents in inductive program synthesis, we in",https://arxiv.org/abs/2503.23145,https://arxiv.org/pdf/2503.23145,7,"/scholar?cites=7322261732284042571&as_sdt=5,33&sciodt=0,33&hl=en",Codearc: Benchmarking reasoning capabilities of llm agents for inductive program synthesis,"Inductive program synthesis, or programming by example, requires synthesizing functions from input-output examples that generalize to unseen inputs. While large language model agents have shown promise in programming tasks guided by natural language, their ability to perform inductive program synthesis is underexplored. Existing evaluation protocols rely on static sets of examples and held-out tests, offering no feedback when synthesized functions are incorrect and failing to reflect real-world scenarios such as reverse engineering. We propose CodeARC, the Code Abstraction and Reasoning Challenge, a new evaluation framework where agents interact with a hidden target function by querying it with new inputs, synthesizing candidate functions, and iteratively refining their solutions using a differential testing oracle. This interactive setting encourages agents to perform function calls and self-correction based on feedback. We construct the first large-scale benchmark for general-purpose inductive program synthesis, featuring 1114 functions. Among 18 models evaluated, o3-mini performs best with a success rate of 52.7%, highlighting the difficulty of this task. Fine-tuning LLaMA-3.1-8B-Instruct on curated synthesis traces yields up to a 31% relative performance gain. CodeARC provides a more realistic and challenging testbed for evaluating LLM-based program synthesis and inductive reasoning. Our code, data, and models are publicly available at https://github.com/Anjiang-Wei/CodeARC",https://doi.org/10.48550/arxiv.2503.23145,OpenAlex,found
Llm-guided compositional program synthesis,R Khan; S Gulwani; V Le; A Radhakrishna,2025.0,arXiv preprint arXiv …,"In Step (1), we ask an LLM to synthesize a program for transforming I  LLM to inverse execute  the last line on the outputs O to get some plausible choices for v1 and v2, and ask the LLM",https://arxiv.org/abs/2503.15540,https://arxiv.org/pdf/2503.15540,5,"/scholar?cites=2759848362620383676&as_sdt=5,33&sciodt=0,33&hl=en",Llm-guided compositional program synthesis,"Program synthesis from input-output examples, also called programming by example (PBE), has had tremendous impact on automating end-user tasks. Large language models (LLMs) have the ability to solve PBE tasks by generating code in different target languages, but they can fail unpredictably. To recover for failure, most approaches, such as self-reflection, use the LLM to solve the same task, but with a richer context. We introduce a novel technique that recovers from failure by constructing simpler subtasks for the LLM to solve. Our approach performs compositional program synthesis using LLMs, where LLM not only guides the decomposition of the PBE task into subtasks, but also solves the subtasks. We present different strategies for decomposing the original task. We experimentally show that our approach can solve challenging task instances that are not solved by self-reflection alone.",https://doi.org/10.48550/arxiv.2503.15540,OpenAlex,found
A contemporary survey of large language model assisted program analysis,J Wang; T Ni; WB Lee; Q Zhao,2025.0,arXiv preprint arXiv:2502.18474,"Despite existing surveys on LLM applications in cybersecurity, comprehensive reviews  specifically addressing their role in program analysis remain scarce. In this survey, we",https://arxiv.org/abs/2502.18474,https://arxiv.org/pdf/2502.18474,43,"/scholar?cites=11934267887364128494&as_sdt=5,33&sciodt=0,33&hl=en",A contemporary survey of large language model assisted program analysis,"The increasing complexity of software systems has driven significant advancements in program analysis, as traditional methods unable to meet the demands of modern software development. To address these limitations, deep learning techniques, particularly Large Language Models (LLMs), have gained attention due to their context-aware capabilities in code comprehension. Recognizing the potential of LLMs, researchers have extensively explored their application in program analysis since their introduction. Despite existing surveys on LLM applications in cybersecurity, comprehensive reviews specifically addressing their role in program analysis remain scarce. In this survey, we systematically review the application of LLMs in program analysis, categorizing the existing work into static analysis, dynamic analysis, and hybrid approaches. Moreover, by examining and synthesizing recent studies, we identify future directions and challenges in the field. This survey aims to demonstrate the potential of LLMs in advancing program analysis practices and offer actionable insights for security researchers seeking to enhance detection frameworks or develop domain-specific models.",https://doi.org/10.53941/tai.2025.100006,OpenAlex,found
Augmenting Program Synthesis with Large Language Models,P Klop,2023.0,,"This literature review provides an overview of the current state of programming by example,  LLM program synthesis, multimodal program synthesis, and prompt generation. This study",https://repository.tudelft.nl/file/File_75323dc0-acaa-47e1-bdeb-b4b4c118c106?preview=1,https://repository.tudelft.nl/file/File_75323dc0-acaa-47e1-bdeb-b4b4c118c106?preview=1,0,,Augmenting Program Synthesis with Large Language Models,,,,skipped
An approach for API synthesis using large language models,H Zhong; S Jiang; S Khurshid,2025.0,arXiv preprint arXiv:2502.15246,"LLM-powered program synthesis in additional contexts.  Finally, we leverage another LLM  to further refine the manually  , most critically, to instruct the LLM to utilize relevant Java open-",https://arxiv.org/abs/2502.15246,https://arxiv.org/pdf/2502.15246,5,"/scholar?cites=9165279893702432159&as_sdt=5,33&sciodt=0,33&hl=en",An approach for API synthesis using large language models,,,,skipped
Combining llm code generation with formal specifications and reactive program synthesis,W Murphy; N Holzer; F Qiao; L Cui; R Rothkopf,2024.0,arXiv preprint arXiv …,"LLM code generation. In this way, we use program synthesis from formal synthesis only for  the generation of the structure of the code base, then we can fill in the details with an LLM in",https://arxiv.org/abs/2410.19736,https://arxiv.org/pdf/2410.19736?,12,"/scholar?cites=4276260680523035461&as_sdt=5,33&sciodt=0,33&hl=en",Combining llm code generation with formal specifications and reactive program synthesis,"In the past few years, Large Language Models (LLMs) have exploded in usefulness and popularity for code generation tasks. However, LLMs still struggle with accuracy and are unsuitable for high-risk applications without additional oversight and verification. In particular, they perform poorly at generating code for highly complex systems, especially with unusual or out-of-sample logic. For such systems, verifying the code generated by the LLM may take longer than writing it by hand. We introduce a solution that divides the code generation into two parts; one to be handled by an LLM and one to be handled by formal methods-based program synthesis. We develop a benchmark to test our solution and show that our method allows the pipeline to solve problems previously intractable for LLM code generation.",https://doi.org/10.48550/arxiv.2410.19736,OpenAlex,found
