title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Tapas are free! training-free adaptation of programmatic agents via llm-guided program synthesis in dynamic environments,J Hu; Y Dong; Y Sun; X Huang,2026,… of the AAAI Conference on Artificial …,TAPA enables autonomous agents to adapt to evolving environments without retraining  through LLM-guided symbolic program synthesis: (1) Logic primitive design. Define high-level,https://ojs.aaai.org/index.php/AAAI/article/view/40189,https://ojs.aaai.org/index.php/AAAI/article/download/40189/44150,3,"/scholar?cites=1039599647896045331&as_sdt=5,33&sciodt=0,33&hl=en"
Pal: Program-aided language models,L Gao; A Madaan; S Zhou; U Alon,2023,International …,-Aided Language model (PAL): a novel approach that uses an LLM to read natural language   This offloading leverages an LLM that can decompose a natural language problem into pro,https://proceedings.mlr.press/v202/gao23f.html?utm_source=chatgpt.com,https://proceedings.mlr.press/v202/gao23f/gao23f.pdf,1490,"/scholar?cites=5256254484066597738&as_sdt=5,33&sciodt=0,33&hl=en"
Hysynth: Context-free llm approximation for guiding program synthesis,S Barke; E Anaya Gonzalez,2024,Advances in …,"framed as program synthesis problems,  LLM completions for a given task are used to learn  a task-specific, context-free surrogate model, which is then used to guide program synthesis.",https://proceedings.neurips.cc/paper_files/paper/2024/hash/1c9c85bae6161d52182d0fe2f3640512-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/1c9c85bae6161d52182d0fe2f3640512-Paper-Conference.pdf,34,"/scholar?cites=11994944627165945172&as_sdt=5,33&sciodt=0,33&hl=en"
A survey on llm-based code generation for low-resource and domain-specific programming languages,S Joel; J Wu; F Fard,2024,ACM Transactions on Software Engineering and …,"currently unable to fully leverage LLM capabilities. LRPLs and  as strategies used to enhance  LLM performance, and the  We categorized the methods used for LLM improvement into",https://dl.acm.org/doi/abs/10.1145/3770084,https://dl.acm.org/doi/pdf/10.1145/3770084,84,"/scholar?cites=7226844166887283709&as_sdt=5,33&sciodt=0,33&hl=en"
Codearc: Benchmarking reasoning capabilities of llm agents for inductive program synthesis,A Wei; T Suresh; J Cao; N Kannan; Y Wu; K Yan,2025,arXiv preprint arXiv …,"program synthesis benchmark for LLM-powered agents. LLM Benchmarks for Code Most  LLM  To evaluate the capabilities of LLM-based agents in inductive program synthesis, we in",https://arxiv.org/abs/2503.23145,https://arxiv.org/pdf/2503.23145,7,"/scholar?cites=7322261732284042571&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-guided compositional program synthesis,R Khan; S Gulwani; V Le; A Radhakrishna,2025,arXiv preprint arXiv …,"In Step (1), we ask an LLM to synthesize a program for transforming I  LLM to inverse execute  the last line on the outputs O to get some plausible choices for v1 and v2, and ask the LLM",https://arxiv.org/abs/2503.15540,https://arxiv.org/pdf/2503.15540,5,"/scholar?cites=2759848362620383676&as_sdt=5,33&sciodt=0,33&hl=en"
A contemporary survey of large language model assisted program analysis,J Wang; T Ni; WB Lee; Q Zhao,2025,arXiv preprint arXiv:2502.18474,"Despite existing surveys on LLM applications in cybersecurity, comprehensive reviews  specifically addressing their role in program analysis remain scarce. In this survey, we",https://arxiv.org/abs/2502.18474,https://arxiv.org/pdf/2502.18474,43,"/scholar?cites=11934267887364128494&as_sdt=5,33&sciodt=0,33&hl=en"
Augmenting Program Synthesis with Large Language Models,P Klop,2023,NA,"This literature review provides an overview of the current state of programming by example,  LLM program synthesis, multimodal program synthesis, and prompt generation. This study",https://repository.tudelft.nl/file/File_75323dc0-acaa-47e1-bdeb-b4b4c118c106?preview=1,https://repository.tudelft.nl/file/File_75323dc0-acaa-47e1-bdeb-b4b4c118c106?preview=1,0,
An approach for API synthesis using large language models,H Zhong; S Jiang; S Khurshid,2025,arXiv preprint arXiv:2502.15246,"LLM-powered program synthesis in additional contexts.  Finally, we leverage another LLM  to further refine the manually  , most critically, to instruct the LLM to utilize relevant Java open-",https://arxiv.org/abs/2502.15246,https://arxiv.org/pdf/2502.15246,5,"/scholar?cites=9165279893702432159&as_sdt=5,33&sciodt=0,33&hl=en"
Combining llm code generation with formal specifications and reactive program synthesis,W Murphy; N Holzer; F Qiao; L Cui; R Rothkopf,2024,arXiv preprint arXiv …,"LLM code generation. In this way, we use program synthesis from formal synthesis only for  the generation of the structure of the code base, then we can fill in the details with an LLM in",https://arxiv.org/abs/2410.19736,https://arxiv.org/pdf/2410.19736?,12,"/scholar?cites=4276260680523035461&as_sdt=5,33&sciodt=0,33&hl=en"
Fully autonomous programming with large language models,V Liventsev; A Grishina; A Härmä,2023,Proceedings of the Genetic …,Current approaches to program synthesis with Large Language Models (LLMs) exhibit a “  We use OpenAI Codex as the LLM and Program Synthesis Benchmark 2 as a database of,https://dl.acm.org/doi/abs/10.1145/3583131.3590481,https://dl.acm.org/doi/pdf/10.1145/3583131.3590481,96,"/scholar?cites=12485541876045269135&as_sdt=5,33&sciodt=0,33&hl=en"
Guiding enumerative program synthesis with large language models,Y Li; J Parsert; E Polgreen,2024,International Conference on Computer Aided …,Large Language Model to solve formal program synthesis problems (Sect. 4.1); A method for  guiding an enumerative synthesizer using LLM- to integrating an LLM into an enumerative,https://link.springer.com/chapter/10.1007/978-3-031-65630-9_15,https://link.springer.com/chapter/10.1007/978-3-031-65630-9_15,47,"/scholar?cites=7469410415856102868&as_sdt=5,33&sciodt=0,33&hl=en"
Self-training large language models for improved visual program synthesis with visual reinforcement,Z Khan; VK BG; S Schulter; Y Fu,2024,Proceedings of the …,"explore improving the program synthesis abilities of an LLM using feedback  LLM as a policy,  and apply reinforced self-training to improve the visual program synthesis ability of the LLM",http://openaccess.thecvf.com/content/CVPR2024/html/Khan_Self-Training_Large_Language_Models_for_Improved_Visual_Program_Synthesis_With_CVPR_2024_paper.html,https://openaccess.thecvf.com/content/CVPR2024/papers/Khan_Self-Training_Large_Language_Models_for_Improved_Visual_Program_Synthesis_With_CVPR_2024_paper.pdf,22,"/scholar?cites=15216852408233272153&as_sdt=5,33&sciodt=0,33&hl=en"
Hlspilot: Llm-based high-level synthesis,C Xiong; C Liu; H Li; X Li,2024,Proceedings of the 43rd IEEE/ACM …,"-tree-based strategy to guide LLM to produce finegrained task  According to the strategy,  LLM iteratively decomposes the  for code with multi-turn program synthesis,” arXiv preprint",https://dl.acm.org/doi/abs/10.1145/3676536.3676781,https://dl.acm.org/doi/pdf/10.1145/3676536.3676781,51,"/scholar?cites=3274295011694986168&as_sdt=5,33&sciodt=0,33&hl=en"
Towards automated verification of llm-synthesized c programs,P Mukherjee; B Delaware,2024,arXiv preprint arXiv:2410.14835,"• We propose a novel LLM-powered program synthesis  LLM-based proof synthesis, we  can repurpose an existing interactive program verification framework to automatically verify LLM-",https://arxiv.org/abs/2410.14835,https://arxiv.org/pdf/2410.14835,9,"/scholar?cites=6350016668867144995&as_sdt=5,33&sciodt=0,33&hl=en"
Enhancing program synthesis with large language models using many-objective grammar-guided genetic programming,N Tao; A Ventresque; V Nallur; T Saber,2024,Algorithms,: (i) provide the LLM-generated code as a seed  LLM-generated code to guide the search  process throughout the evolution. The idea behind using the similarity measures is that the LLM,https://www.mdpi.com/1999-4893/17/7/287,https://www.mdpi.com/1999-4893/17/7/287,25,"/scholar?cites=18083059115750730472&as_sdt=5,33&sciodt=0,33&hl=en"
Program Synthesis Using Dependent Types: An Analysis of Efficiency and Search Methodologies,S Lishun,2025,NA,"limits the practical applicability of program synthesis in real-world  to improve efficiency; and  LLM-based methods, which leverage  We propose a novel LLM-based search method and",https://repositorio.ulisboa.pt/entities/publication/8090a0a2-8766-4c3b-b628-3eb63fc26919,https://repositorio.ulisboa.pt/bitstreams/380ccaba-a8f7-4665-88f0-bde1fee446e4/download,0,
Grammar-obeying program synthesis: A novel approach using large language models and many-objective genetic programming,N Tao; A Ventresque; V Nallur; T Saber,2025,Computer Standards & Interfaces,"grammar-obeying program synthesis, where the  program synthesis dataset indicate that  the proposed approach successfully improves the rate of grammar-obeying program synthesis",https://www.sciencedirect.com/science/article/pii/S0920548924001077,https://researchrepository.universityofgalway.ie/bitstreams/f296602c-4e0f-4575-9be9-17cc4a7e2212/download,9,"/scholar?cites=2011775669698864272&as_sdt=5,33&sciodt=0,33&hl=en"
