title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url,Cleaned Title,Original Abstract,Abstract DOI,Abstract Source,Abstract Status
LLM-Based Agents for Tool Learning: A Survey: W. Xu et al.,W Xu; C Huang; S Gao; S Shang,2025,Data Science and Engineering,review of tool-learning agents in this paper. We start by introducing the definition of the  tool learning task for Agents and then illustrating the typical architecture of the tool-learning,https://link.springer.com/article/10.1007/s41019-025-00296-9,https://link.springer.com/article/10.1007/s41019-025-00296-9,46,"/scholar?cites=2464249754623208169&as_sdt=5,33&sciodt=0,33&hl=en",LLM-Based Agents for Tool Learning: A Survey: W. Xu et al.,"Abstract Human beings capable of making and using tools can accomplish tasks far beyond their innate abilities, and this paradigm of integration with tools may not be limited to humans themselves. Recently, the large language model (LLM) has demonstrated immense potential across various fields with its unique planning and reasoning abilities. However, there are still many challenges beyond its capabilities due to deficiencies in its training data and inherent illusions. Thus, integrating LLMs and tools into tool learning agents has become a new emerging research direction. To this end, we present a systematic investigation and comprehensive review of tool-learning agents in this paper. We start by introducing the definition of the tool learning task for Agents and then illustrating the typical architecture of the tool-learning models. Since these tools are all defined by users, LLM does not know what tools there are and what their functions are. Thus, LLMs should first find appropriate tools and split the tool retrieval methods into two categories: training-based and non-training-based. To accurately complete the user task, it is important to decompose the task into several sub-tasks and execute them in the correct order. Following that, we introduce the tool planning methods and organize these works by whether they rely on the model’s inherent reasoning capabilities for planning or utilize external reasoning tools. Due to the rapid development of this field, we also introduce an emerging frontier direction: using multimodal tools for LLM. In addition, we compile current open-source benchmarks and evaluation metrics, focusing on their scale, composition, calculation methods, and assessment dimensions. Next, we introduce several application scenarios for the LLM-based tool learning methods. Finally, we discuss the safety and ethical issues involved in tool learning.",10.1007/s41019-025-00296-9,Crossref,found
Easytool: Enhancing llm-based agents with concise tool instruction,S Yuan; K Song; J Chen; X Tan; Y Shen,2025,Proceedings of the …,"of current tool utilization in LLM-based agents and first point out the deficiencies of tool   , which creates high-quality tool instructions from documentation to facilitate tool usage in",https://aclanthology.org/2025.naacl-long.44/,https://aclanthology.org/2025.naacl-long.44.pdf,158,"/scholar?cites=15213361057645018401&as_sdt=5,33&sciodt=0,33&hl=en",Easytool: Enhancing llm-based agents with concise tool instruction,,,,skipped
Llm agents making agent tools,G Wölflein; D Ferber; D Truhn,2025,Proceedings of the …,"Re-implement the tool function We perform an LLM call to re-implement the tool based on  the current implementation, the error diagnosis, and the plan to fix the error. Summarise the",https://aclanthology.org/2025.acl-long.1266/,https://aclanthology.org/2025.acl-long.1266.pdf,42,"/scholar?cites=17302589649293188991&as_sdt=5,33&sciodt=0,33&hl=en",Llm agents making agent tools,,,,skipped
Executable code actions elicit better llm agents,X Wang; Y Chen; L Yuan; Y Zhang; Y Li,2024,Forty-first International …,"For each evaluation instance, we instruct LLM to generate one atomic tool call in the format  of a Python function call, JSON object, or text expression in a pre-defined format. A concrete",https://openreview.net/forum?id=jJ9BoXAfFa&trk=publi,https://openreview.net/pdf?id=jJ9BoXAfFa,463,"/scholar?cites=14417798504674200556&as_sdt=5,33&sciodt=0,33&hl=en",Executable code actions elicit better llm agents,,,,skipped
Survey on evaluation of llm-based agents,A Yehudai; L Eden; A Li; G Uziel; Y Zhao,2025,arXiv preprint arXiv …,"AI Agents”, “Agents,” and “Agentic Systems”. We adopt the terms “LLM-based agents” and  “LLM agents process ensures accurate and efficient function calling within the LLM’s workflow.",https://arxiv.org/abs/2503.16416,https://arxiv.org/pdf/2503.16416,140,"/scholar?cites=15426870596102221307&as_sdt=5,33&sciodt=0,33&hl=en",Survey on evaluation of llm-based agents,,,,skipped
Avatar: Optimizing llm agents for tool usage via contrastive reasoning,S Wu; S Zhao; Q Huang; K Huang,2024,Advances in …,techniques that enable LLM agents to effectively use these  framework that optimizes an LLM  agent to effectively leverage  prompts to the LLM agent by contrastively reasoning between,https://proceedings.neurips.cc/paper_files/paper/2024/hash/2db8ce969b000fe0b3fb172490c33ce8-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/2db8ce969b000fe0b3fb172490c33ce8-Paper-Conference.pdf,71,"/scholar?cites=1383898048095419307&as_sdt=5,33&sciodt=0,33&hl=en",Avatar: Optimizing llm agents for tool usage via contrastive reasoning,,,,skipped
CToolEval: A Chinese benchmark for LLM-powered agent evaluation in real-world API interactions,Z Guo; Y Huang; D Xiong,2024,Findings of the Association for …,"an LLM-powered agent has invoked an appropriate tool,  the API in a single-tool scenario,  or whether the agent can  of API parameters to make the correct calls in a multi-tool scenario.",https://aclanthology.org/2024.findings-acl.928/,https://aclanthology.org/2024.findings-acl.928.pdf,21,"/scholar?cites=17565485091412636270&as_sdt=5,33&sciodt=0,33&hl=en",CToolEval: A Chinese benchmark for LLM-powered agent evaluation in real-world API interactions,,,,skipped
Small llms are weak tool learners: A multi-llm agent,W Shen; C Li; H Chen; M Yan; X Quan,2024,Proceedings of the …,"LLM requires potential retraining. To address these challenges, we propose a multiLLM agent  framework for tool  the capabilities of a single LLM into three components, namely planner,",https://aclanthology.org/2024.emnlp-main.929/,https://aclanthology.org/2024.emnlp-main.929.pdf,119,"/scholar?cites=2111122559950733757&as_sdt=5,33&sciodt=0,33&hl=en",Small llms are weak tool learners: A multi-llm agent,,,,skipped
Axis: Efficient human-agent-computer interaction with api-first llm-based agents,J Lu; Z Zhang; F Yang; J Zhang; L Wang,2025,Proceedings of the …,"AXIS, a novel LLM-based agents framework that prioritize actions  Our work contributes to a  new humanagent-computer  into agents in the era of LLMs, paving the way towards an agent-",https://aclanthology.org/2025.acl-long.381/,https://aclanthology.org/2025.acl-long.381.pdf,20,"/scholar?cites=5950880429004683761&as_sdt=5,33&sciodt=0,33&hl=en",Axis: Efficient human-agent-computer interaction with api-first llm-based agents,,,,skipped
A survey on code generation with llm-based agents,Y Dong; X Jiang; J Qian; T Wang; K Zhang,2025,arXiv preprint arXiv …,Integration and Retrieval Enhancement Integrating external tools with LLMs is one of the  keys for single agents to break through their own generation capability boundaries. Building on,https://arxiv.org/abs/2508.00083,https://arxiv.org/pdf/2508.00083,56,"/scholar?cites=7337704227375584156&as_sdt=5,33&sciodt=0,33&hl=en",A survey on code generation with llm-based agents,"Code generation agents powered by large language models (LLMs) are revolutionizing the software development paradigm. Distinct from previous code generation techniques, code generation agents are characterized by three core features. 1) Autonomy: the ability to independently manage the entire workflow, from task decomposition to coding and debugging. 2) Expanded task scope: capabilities that extend beyond generating code snippets to encompass the full software development lifecycle (SDLC). 3) Enhancement of engineering practicality: a shift in research emphasis from algorithmic innovation toward practical engineering challenges, such as system reliability, process management, and tool integration. This domain has recently witnessed rapid development and an explosion in research, demonstrating significant application potential. This paper presents a systematic survey of the field of LLM-based code generation agents. We trace the technology's developmental trajectory from its inception and systematically categorize its core techniques, including both single-agent and multi-agent architectures. Furthermore, this survey details the applications of LLM-based agents across the full SDLC, summarizes mainstream evaluation benchmarks and metrics, and catalogs representative tools. Finally, by analyzing the primary challenges, we identify and propose several foundational, long-term research directions for the future work of the field.",10.48550/arXiv.2508.00083,SemanticScholar,found
