title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Beyond react: A planner-centric framework for complex tool-augmented llm reasoning,X Wei; Y Dong; X Wang; X Zhang; Z Zhao,2026,Proceedings of the …,Existing tool-augmented large language models (LLMs) encounter significant challenges  when processing complex queries. Current frameworks such as ReAct are prone to local,https://ojs.aaai.org/index.php/AAAI/article/view/40676,https://ojs.aaai.org/index.php/AAAI/article/view/40676/44637,7,"/scholar?cites=16275696610511684019&as_sdt=5,33&sciodt=0,33&hl=en"
Isr-llm: Iterative self-refined large language model for long-horizon sequential task planning,Z Zhou; J Song; K Yao; Z Shu,2024,2024 IEEE International …,"sequential task planning, the number of actions n tends to be relatively large. In this work,  our primary focus is the capabilities of LLM in solving the designated task planning problem, ie",https://ieeexplore.ieee.org/abstract/document/10610065/,https://arxiv.org/pdf/2308.13724,155,"/scholar?cites=5400260186889495296&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-collab: a framework for enhancing task planning via chain-of-thought and multi-agent collaboration,H Cao; R Ma; Y Zhai; J Shen,2024,Applied Computing and Intelligence,"In this paper, we present LLM-Collab, where Collab represents the cooperative interaction   for agent-based task planning. We advocate for the employment of two LLM-driven agents to",https://www.aimspress.com/aimspress-data/aci/2024/2/PDF/aci-04-02-019.pdf,https://www.aimspress.com/aimspress-data/aci/2024/2/PDF/aci-04-02-019.pdf,8,"/scholar?cites=3488156935027745854&as_sdt=5,33&sciodt=0,33&hl=en"
Pre-act: Multi-step planning and reasoning improves acting in llm agents,M Rawat; A Gupta; R Goomer; A Di Bari,2025,arXiv preprint arXiv …,"It is noteworthy that the Pre-Act approach with GPT demonstrates significant improvements  compared to GPT with ReAct, while our fine-tuned model achieves even higher GC and",https://arxiv.org/abs/2505.09970,https://arxiv.org/pdf/2505.09970,15,"/scholar?cites=4989143397965613613&as_sdt=5,33&sciodt=0,33&hl=en"
React: Synergizing reasoning and acting in language models,S Yao; J Zhao; D Yu; N Du; I Shafran,2022,The eleventh …,"Since decision making and reasoning capabilities are integrated into a large language  model, ReAct enjoys several unique features: A) Intuitive and easy to design: Designing ReAct",https://openreview.net/forum?id=WE_vluYUL-X,https://openreview.net/pdf?id=WE_vluYUL-X,8221,"/scholar?cites=15164492138064021676&as_sdt=5,33&sciodt=0,33&hl=en"
Enhancing llm-based agents via global planning and hierarchical execution,J Chen; H Li; J Yang; Y Liu; Q Ai,2025,arXiv preprint arXiv:2504.16563,"agent frameworks in our experiment, including ReAct, CodeAct, and GoalAct, with GLM-4-Plus  as the base LLM. We observe that ReAct has restricted action space due to the text or",https://arxiv.org/abs/2504.16563,https://arxiv.org/pdf/2504.16563,10,"/scholar?cites=13928514546480039759&as_sdt=5,33&sciodt=0,33&hl=en"
Layered chain-of-thought prompting for multi-agent llm systems: A comprehensive approach to explainable large language models,M Sanwal,2025,arXiv preprint arXiv:2501.18645,"Moreover, we show how multi-agent LLM architectures—where specialized agentmodels  coordinate tasks such as cross-checking, knowledge retrieval, and user interaction—can",https://arxiv.org/abs/2501.18645,https://arxiv.org/pdf/2501.18645,56,"/scholar?cites=34577479784054233&as_sdt=5,33&sciodt=0,33&hl=en"
Dynamic planning with a llm,G Dagan; F Keller; A Lascarides,2023,arXiv preprint arXiv:2308.06391,", LLM-DP solves Alfworld faster and more efficiently than a naive LLM ReAct baseline.  the  Large Language Model Dynamic Planner (LLM-DP), which operates as a closedloop agent.",https://arxiv.org/abs/2308.06391,https://arxiv.org/pdf/2308.06391,108,"/scholar?cites=12284201391719998300&as_sdt=5,33&sciodt=0,33&hl=en"
Stop reasoning! when multimodal llm with chain-of-thought reasoning meets adversarial image,Z Wang; Z Han; S Chen; F Xue; Z Ding; X Xiao,2024,arXiv preprint arXiv …,"Multimodal LLMs (MLLMs) with a great ability of text and image understanding have  received great attention. To achieve better reasoning with MLLMs, Chain-of-Thought (CoT)",https://arxiv.org/abs/2402.14899,https://arxiv.org/pdf/2402.14899,64,"/scholar?cites=8745279736101918176&as_sdt=5,33&sciodt=0,33&hl=en"
Robotic action planning using large language models,CB Da Silva; JLB Ramírez; N Mastelari,2024,2024 Latin American …,"large language model, we used the LangChain framework3. LangChain was chosen for its  capabilities in supporting the ReAct  to use LlaMA3-70B as the LLM, in the react and the tool.",https://ieeexplore.ieee.org/abstract/document/10786412/,,8,"/scholar?cites=10616485795254399770&as_sdt=5,33&sciodt=0,33&hl=en"
ReAcTree: Hierarchical LLM Agent Trees with Control Flow for Long-Horizon Task Planning,JW Choi; H Kim; H Ong; M Jang; D Kim; J Kim,2025,arXiv preprint arXiv …,", a hierarchical task-planning method that decomposes a  Each subgoal is handled by an  LLM agent node capable of  forms strong task-planning baselines such as ReAct across diverse",https://arxiv.org/abs/2511.02424,https://arxiv.org/pdf/2511.02424,1,"/scholar?cites=5703859018681834470&as_sdt=5,33&sciodt=0,33&hl=en"
Controlled chain of thought: Eliciting role-play understanding in llm through prompts,D Carlander; K Okada; H Engström,2024,… IEEE Conference on …,"its use on Large Language Model LLM, eliciting an understanding thereof through a novel  prompting method dubbed Controlled Chain of Thought (CCoT). CCoT allows for the LLM to",https://ieeexplore.ieee.org/abstract/document/10645667/,,14,"/scholar?cites=14290685054603269688&as_sdt=5,33&sciodt=0,33&hl=en"
Smart-llm: Smart multi-agent robot task planning using large language models,SS Kannan; VLN Venkatesh,2024,2024 IEEE/RSJ …,"-LLM, an innovative framework designed for embodied multi-robot task planning. SMART-  Following the initial few-shot LLM prompting, we provide the LLM with various pieces of",https://ieeexplore.ieee.org/abstract/document/10802322/,https://arxiv.org/pdf/2309.10062,369,"/scholar?cites=6697108159615206535&as_sdt=5,33&sciodt=0,33&hl=en"
Pract: Optimizing principled reasoning and acting of llm agent,Z Liu; W Yao; J Zhang; Z Liu; L Yang,2024,Proceedings of the …,"We introduce the Principled Reasoning and Acting (PRAct) framework, a novel method for  learning and enforcing action principles from trajectory data. Central to our approach is the",https://aclanthology.org/2024.conll-1.33/,https://aclanthology.org/2024.conll-1.33.pdf,11,"/scholar?cites=17629469214739402689&as_sdt=5,33&sciodt=0,33&hl=en"
Instructrag: Leveraging retrieval-augmented generation on instruction graphs for llm-based task planning,Z Wang; SX Teo; JJ Chew; W Shi,2025,… of the 48th International ACM SIGIR …,We explore the problem of LLM-based task planning through  LLM in completing tasks that  do not have pre-defined paths during the graph’s construction. - Transferability: Task planning,https://dl.acm.org/doi/abs/10.1145/3726302.3730009,https://dl.acm.org/doi/pdf/10.1145/3726302.3730009,8,"/scholar?cites=15377039259784744055&as_sdt=5,33&sciodt=0,33&hl=en"
Reactree: Hierarchical task planning with dynamic tree expansion using llm agent nodes,JW Choi; H Kim; H Ong; Y Yoon; M Jang; J Kim,2025,NA,"ReAct is a representative method that leverages a pre-trained LLM, pLLM , to solve the task  planning  The LLM defines the action policy as follows: at ∼ pLLM (·|P, g, ct), where P = (Psys",https://openreview.net/forum?id=KgKN7F0PyQ,https://openreview.net/pdf?id=KgKN7F0PyQ,2,"/scholar?cites=17548304444194222330&as_sdt=5,33&sciodt=0,33&hl=en"
A survey of task planning with large language models,W Zhai; J Liao; Z Chen; B Su; X Zhao,2025,Intelligent Computing,"Thus, the task planning described in this review can be understood as  task planning with  an LLM as a mapping function P . Let G represent the goal to be achieved, L represent the LLM",https://spj.science.org/doi/abs/10.34133/icomputing.0124,https://spj.science.org/doi/full/10.34133/icomputing.0124,11,"/scholar?cites=794100839084591980&as_sdt=5,33&sciodt=0,33&hl=en"
Conceptagent: Llm-driven precondition grounding and tree search for robust task planning and execution,C Rivera; G Byrd; W Paul; T Feldman,2025,… on Robotics and …,"With a focus on scalability and reliability of LLM-based  , and 2) an embodied version of  LLM-guided Monte Carlo Tree  state-of-the-art LLM-driven reasoning baselines that scored 10.26",https://ieeexplore.ieee.org/abstract/document/11128414/,https://arxiv.org/pdf/2410.06108?,13,"/scholar?cites=7892576315935032402&as_sdt=5,33&sciodt=0,33&hl=en"
Evaluating an LLM-driven task planning framework,I Hategekimana Jabiro,NA,NA,This thesis explored the feasibility of an LLM-Modulo framework for task planning in a  block-stacking domain. LLM-Modulo frameworks combine the strengths of Large Language,https://usherbrooke.scholaris.ca/items/f3130e8b-88c1-4b05-a02d-38e161cb40d1,https://usherbrooke.scholaris.ca/bitstreams/28aa16d8-ec28-41bd-b967-2b5e35394042/download,0,
LLM3: Large Language Model-based Task and Motion Planning with Motion Failure Reasoning,S Wang; M Han; Z Jiao; Z Zhang; YN Wu,2024,2024 IEEE/RSJ …,Chainof-Thought (CoT) prompting to have the LLM generate the reasoning and action  sequence in an auto-regressive manner. The prompt fed into LLM  pre-trained LLM and activates,https://ieeexplore.ieee.org/abstract/document/10801328/,https://arxiv.org/pdf/2403.11552?,109,"/scholar?cites=8018666634403922128&as_sdt=5,33&sciodt=0,33&hl=en"
Understanding the planning of llm agents: A survey,X Huang; W Liu; X Chen; X Wang; H Wang,2024,arXiv preprint arXiv …,"This survey provides the first systematic view of LLM-based agents planning, covering recent  works aiming to improve planning ability. We provide a taxonomy of existing works on LLM-",https://www.researchgate.net/profile/Xu-Huang-37/publication/380756642_Understanding_the_planning_of_LLM_agents_A_survey/links/664d5a9dbc86444c72f64b6f/Understanding-the-planning-of-LLM-agents-A-survey.pdf,https://www.researchgate.net/profile/Xu-Huang-37/publication/380756642_Understanding_the_planning_of_LLM_agents_A_survey/links/664d5a9dbc86444c72f64b6f/Understanding-the-planning-of-LLM-agents-A-survey.pdf,448,"/scholar?cites=5384087220746207566&as_sdt=5,33&sciodt=0,33&hl=en"
