title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Smart-llm: Smart multi-agent robot task planning using large language models,SS Kannan; VLN Venkatesh,2024,2024 IEEE/RSJ …,"-LLM, an innovative framework designed for embodied multi-robot task planning. SMART-  Following the initial few-shot LLM prompting, we provide the LLM with various pieces of",https://ieeexplore.ieee.org/abstract/document/10802322/,https://arxiv.org/pdf/2309.10062,370,"/scholar?cites=6697108159615206535&as_sdt=5,33&sciodt=0,33&hl=en"
TPTU: large language model-based AI agents for task planning and tool usage,J Ruan; Y Chen; B Zhang; Z Xu; T Bao; G Du,2023,arXiv preprint arXiv …,"task planning and the usage of external tools. In this paper, we first propose a structured  framework tailored for LLM-based AI Agents  of agents (ie, one-step agent and sequential agent)",https://arxiv.org/abs/2308.03427,https://arxiv.org/pdf/2308.03427,56,"/scholar?cites=7916725756616343845&as_sdt=5,33&sciodt=0,33&hl=en"
Tptu: Task planning and tool usage of large language model-based ai agents,J Ruan; Y Chen; B Zhang; Z Xu; T Bao,2023,… for decision making …,"task planning and the usage of external tools. In this paper, we first propose a structured  framework tailored for LLM-based AI Agents  of agents (ie, one-step agent and sequential agent)",https://openreview.net/forum?id=GrkgKtOjaH,https://openreview.net/pdf?id=GrkgKtOjaH,194,"/scholar?cites=215173853357937829&as_sdt=5,33&sciodt=0,33&hl=en"
Understanding the planning of llm agents: A survey,X Huang; W Liu; X Chen; X Wang; H Wang,2024,arXiv preprint arXiv …,"to improve planning ability. We provide a taxonomy of existing works on LLM-Agent planning,   Selfconsistency improves chain of thought reasoning in language models. arXiv preprint",https://www.researchgate.net/profile/Xu-Huang-37/publication/380756642_Understanding_the_planning_of_LLM_agents_A_survey/links/664d5a9dbc86444c72f64b6f/Understanding-the-planning-of-LLM-agents-A-survey.pdf,https://www.researchgate.net/profile/Xu-Huang-37/publication/380756642_Understanding_the_planning_of_LLM_agents_A_survey/links/664d5a9dbc86444c72f64b6f/Understanding-the-planning-of-LLM-agents-A-survey.pdf,449,"/scholar?cites=5384087220746207566&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-based multi-agent decision-making: Challenges and future directions,C Sun; S Huang; D Pompili,2025,IEEE Robotics and Automation …,", are not considered in the DM frameworks of a single agent. To inspire  LLM-based  MADM, in this letter, we survey the existing LLMbased single-agent and multi-agent decision-making",https://ieeexplore.ieee.org/abstract/document/10970024/,https://www.researchgate.net/profile/Chuanneng-Sun/publication/390938978_LLM-based_Multi-Agent_Decision-Making_Challenges_and_Future_Directions/links/6813f049ded433155740ee84/LLM-Based-Multi-Agent-Decision-Making-Challenges-and-Future-Directions.pdf,40,"/scholar?cites=13783302792976814805&as_sdt=5,33&sciodt=0,33&hl=en"
Dynamic planning with a llm,G Dagan; F Keller; A Lascarides,2023,arXiv preprint arXiv:2308.06391,"Given action-descriptions, LLM-DP solves Alfworld faster and more efficiently than a naive  LLM ReAct  We describe the working of the LLM-DP agent as pseudo-code in Algorithm 1.",https://arxiv.org/abs/2308.06391,https://arxiv.org/pdf/2308.06391,108,"/scholar?cites=12284201391719998300&as_sdt=5,33&sciodt=0,33&hl=en"
Llm-collab: a framework for enhancing task planning via chain-of-thought and multi-agent collaboration,H Cao; R Ma; Y Zhai; J Shen,2024,Applied Computing and Intelligence,"Motivated by the unexploited potential of autonomous agents, our  agent-based task  planning. We advocate for the employment of two LLM-driven agents to enable intelligent planning",https://www.aimspress.com/aimspress-data/aci/2024/2/PDF/aci-04-02-019.pdf,https://www.aimspress.com/aimspress-data/aci/2024/2/PDF/aci-04-02-019.pdf,8,"/scholar?cites=3488156935027745854&as_sdt=5,33&sciodt=0,33&hl=en"
Safeagentbench: A benchmark for safe task planning of embodied llm agents,S Yin; X Pang; Y Ding; M Chen; Y Bi; Y Xiong,2024,arXiv preprint arXiv …,"task planning performance of embodied agents, we consider both task-execution-based and  LLM- Unlike previous benchmarks(Choi et al., 2024; Li et al., 2023) that evaluate the agent’s",https://arxiv.org/abs/2412.13178,https://arxiv.org/pdf/2412.13178,33,"/scholar?cites=16677803961687832945&as_sdt=5,33&sciodt=0,33&hl=en"
Isr-llm: Iterative self-refined large language model for long-horizon sequential task planning,Z Zhou; J Song; K Yao; Z Shu,2024,2024 IEEE International …,"To address this challenge, we introduce ISR-LLM, a novel framework that improves LLM-based  planning through an iterative self-refinement process. The framework operates through",https://ieeexplore.ieee.org/abstract/document/10610065/,https://arxiv.org/pdf/2308.13724,156,"/scholar?cites=5400260186889495296&as_sdt=5,33&sciodt=0,33&hl=en"
Can graph learning improve planning in llm-based agents?,X Wu; Y Shen; C Shan; K Song,2024,Advances in …,"of task planning as a graph decision-making problem. In the realm of task planning, our  work  In this section, we introduce task planning in language agents and the current LLM-based",https://proceedings.neurips.cc/paper_files/paper/2024/hash/098d1bd3eb6156a4c2f834563cdcf617-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/098d1bd3eb6156a4c2f834563cdcf617-Paper-Conference.pdf,59,"/scholar?cites=7993867619161662483&as_sdt=5,33&sciodt=0,33&hl=en"
